Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Dessert:icing,cheesecake,pancakes,waffle,Belgian waffle,oatmeal cookie,pecan pie,muffin,blueberry muffin,gelatin,brownie,peanut brittle,nut brittle,watermelon ice,donut,mousse,chocolate mousse,gingerbread,custard,raisin bread,strawberry shortcake,frosting,molasses,ambrosia,truffle,rhubarb pie,toffee,doughnuts,marshmallow,toasted marshmallow
Mathematics:irrational number,corollary,inclination,exponent,denominator,resilient,zeal,subtraction,abacus,conjugate,asymmetry,quotient,circumference,underestimate,ellipse,mathematician,concave,intersect,invert,permutation,zest,cartesian,delve,ordinal,concentric,octagon,numeral,logarithm,congruent,zigzag
Kindness:sympathetic,earnest,compassionate,cheerful,gracious,uplifting,courteous,trustworthy,attentive,receptive,accommodating,benevolent,forgiving,affectionate,reassuring,cordial,chum,considerate,hospitable,amiable,likable,sociable,unselfish,brotherly,congenial,jovial,veneration,affable,tactful
Sewing:hoop,darts,hem,weave,sew,Velcro,seam,seam allowance,seam ripper,tat,snaps,spool,twill tape,patchwork,yoke,fastener,scissor,interfacing,edging,needlepoint,yardage,suture,inseam,zigzag,bobbin,gusset,thimble,grommet,pleat,ruffles,awl,seamstress,dressmaker,embroider,needle threader,crewel,baste,buttonhole,smocking,overhand stitch,upholsterer,selvage,pinking shears
Food:pancake,cloves,relish,eggplant,nutritious,scrambled,watermelon,pate,mussels,margarine,beet,sorghum,mousse,nutmeg,bagel,zucchini,sprouts,Brussels sprouts,alfalfa sprouts,gingerbread,buns,tortilla,crepe,custard,halibut,raisin,wok,seaweed,millet,munch
Plant:thorn,biennial,root hairs,corolla,stigma,nectar,alfalfa,ovary,shamrock,parted leaf,stalk,filament,petal,yucca,cleft leaf,deciduous,photosynthesis,seedling,ginkgo,kelp,sprout,twig,spore,netted,petrified wood,toothed,legume,lamina,kudzu,calyx
Bird:lark,nightingale,bunting,woodpecker,pheasant,loon,stint,great horned owl,fowl,ostrich,flicker,grouse,thrush,wood thrush,kingfisher,mockingbird,bluebird,eastern bluebird,seagull,stork,covey,roadrunner,mallard duck,blackbird,peregrine falcon,tern,Arctic tern,vulture,nutcracker,creeper
People Related:selfish,dependable,graceful,careless,crafty,unlucky,touchy,stingy,likable,talkative,forgetful,inconsiderate,easygoing
Finance:deregulation,reimburse,arrears,delinquency,guaranty,inflated price,speculate,barter,accrue,cartel,prepayment penalty,downturn,slump,mercantile,underwriter,conglomerate,buyout,diversify,churn,arbitrage,unregulated,invalidate,promissory note,extortion,solvency,insolvent,devaluation,recoup,keogh plan,embezzlement
Sport:discus,dressage,aikido,swimmer,skier,water skier,fielder,ollie,bowler,wrestler,geocaching,umpire,boomerang,slalom,canoe slalom,snowmobiling,fumble,mahjong marathon,snowshoeing,dugout,frisbee,Frisbee,cyclist,cleats,mallet,mitt,jogger,teammate,javelin,javelin throw
Character:selfish,daring,witty,cheerful,respectful,graceful,adventurous,brute,trusting,stubborn,inventive,meek,obnoxious,forgiving,timid,devout,ferocious,impulsive,indulgent,heartless,shrewd,merciless,amiable,callous,lenient,odious,amicable,grouchy,urbane,genteel,affable,obliging,courtly
Imaginary People and Animal:sphinx,werewolf,ogre,android,abominable snowman
Military:torpedo,muster,skunk,flank,hoist,truce,sniffer,duffel,ambush,gizmo,brig,reeve,gunner,lanyard,armory,echelon,battleship,drone,canteen,enlist,evacuate,tomahawk,fathom,barrage,bastion,grunt,semaphore,bayonet,amphibious vehicle,volley
Job Related:sanction,adept in,enrich,manifestation,shop steward,dependents,devise,striker,expedite,lockout,shorten,labourer worker,day labourer,reconstruct,workman,emigration,strike picket,staggered strike,innovate,regenerate,unskilled worker,collaborator,workday,modernize,proletariat,trade unionist,salary earner,trade unionism,proletarian,enliven,reorientation,underemployment,systematize,piecework wage,piecework work,blackleg
Amphibian:crested newt,eastern newt,spotted newt,paddle tail newt,fire belly newt,Goliath frog,horned frog,ornate horned frog,red eft,salamander,mud salamander,spring salamander,torrent salamander,woodlands salamander,giant salamander,fire salamander,climbing salamander,brook salamander,red salamander,amphibian
Tool:lathe,putty knife,ratchet,workbench,shovel,sharpening stone,sickle,anvil,fastener,hone,pruning shears,hedge shears,bellows,mallet,trap and drain auger,small wrecking bar,chisel,plumb bob,rivet,vise,bevel,scraper,tiller,calipers,tongs,sharpener,stapler,plunger,miter box,pry bar
Law:sighting,eviction,hijack,libel,coroner,interpol,convict,lawfully,fatality,informant,bribery,stipulation,perjury,phony,extradition,disobedience,unintentional,forgery,slander,trespass,impeach,blackmail,manslaughter,skillful,motorist,perpetrator,unsolved,quarrel,thwart,collusion
Halloween:werewolf,haunt,carve,tiara,vanish,morbid,tombstone,superstition,warlock,ballerina,howl,ogre,prank,fright,cowgirl,potion,eerie,casket,scarecrow,afterlife,ghostly,kimono,cauldron,gruesome,macabre,shadowy,gory,repulsive,frighten,tutu
Hair:curly hair,bangs,wavy hair,mustache,ponytail,pigtails,sideburns
Landform:ria,iceberg,ledge,rift valley,archipelago,cataract,equator,knoll,firth,atoll,tributary,gully,narrows,caldera,lowland,gulch,seashore,grotto,ravine,chasm,islet,headwaters,shoal,badlands,fissure,alluvial fan,moraine,fjord,headland,seabed
Restaurant:lemonade,centerpiece,hostess,napkin,appetizer,doggie bag,condiments,silverware,ketchup,entree,tablecloth,delicatessen,seared,braised,gourmand
Winter:shovel,snow shovel,sleigh bells,gust,muffler,hibernate,frosty,snowflake,pullover,gingerbread,gingerbread man,gingerbread woman,gingerbread house,brisk,firewood,thaw,chills,mittens,snowball,parka,sledge,dreary,ice scraper,shiver,turtleneck,luge,flurries,hypothermia,slush,sneeze
Fast Food:hamburger,muffin,reuben,bagel,pita,burrito,pretzel,cheeseburger,hoagie
Construction:sash,rubble,taping,sanding,spline,gable,sill,flashed,varnish,flue,damper,edging,centerline,fascia,lumen,scaffold,sealer,sump,plumb,mantel,grout,stucco,outrigger,trellis,bevel,preservative,rout,wattage,beveled,shim
Taste:hearty,acidic,full bodied,fruity,rancid,gritty,savory,greasy,crispy,spiced,crunchy,nutty,tasteless,seasonings,stinky,pickled,succulent,chewy,delectable,flavorful,palatable,gooey,tangy,pungent,scrumptious
Astronomy:celestial equator,telemetry,Lagrange points,luminosity,azimuth,quasar,supernova,Uranus,singularity,waning,astronomer,interstellar,interstellar dust,hyperbolic orbit,totality,meteorite,redshift,apogee,revolve,declination,gravitation,vernal equinox,globular cluster,parallax,hadron,albedo,eccentricity,orbital eccentricity,nadir,lepton
Kitchen:napkin,roasting pan,crock pot,fryer,sieve,shears,poultry shears,juicer,custard cup,creamer,silverware,popcorn popper,wok,fondue set,oven mitt,tumbler,leftovers,whisk,whisk broom,waxed paper,tablecloth,decanter,broiler,tongs,slicer,knife sharpener,griddle,spatula,beater,egg beater
Tree:poplar,weeping willow,sequoia,pecan,palmetto,cabbage palmetto,cottonwood,eucalyptus,sycamore,buckeye,mangrove,haw,hemlock,ginkgo,dogwood,tupelo,Sitka spruce,yew,conifer,banyan,camellia,mimosa,ironwood,butternut,wingnut,quince,larch,persimmon,sassafras,elderberry
Animal:seagull,stork,bobcat,Dachshund,roadrunner,mallard duck,blackbird,starfish,nymph,anaconda,porcupine,North American porcupine,mongoose,yellow mongoose,peregrine falcon,groundhog,tern,Arctic tern,snapping turtle,vulture,iguana,green iguana,raccoon,aardvark,sandpiper,ladybug,salamander,jellyfish,veiled chameleon,grasshopper
Roadway:motorway,turnpike,roundabout,expressway,frontage road,beltway,walkway,causeway,viaduct,overpass,superhighway,thoroughfare,byway,underpass,thruway,cloverleaf
Cooking:chop,scramble,simmer,thaw,saute,strainer,broil,spatula,sear,poach,potholder,braise
Container:depository,saucer,hutch,suitcase,canister,hamper,flask,vial,receptacle,crock,casket,tun,canteen,satchel,pail,cask,attache,beaker,lunchbox,vesicle,carafe,knapsack,compote,wastebasket,saddlebag,tureen,cruet,coffer,ewer,carryall
Vegetable:savory,chilli,avocado,eggplant,pickles,beet,zucchini,sprouts,Brussels sprouts,brussels sprouts,bean sprouts,cauliflower,artichoke,cumin,toil,leek,truffle,dandelion,fennel,kale,rhubarb,caper,lentils,horseradish,chard,herbaceous,beets,lentil,tubers,romaine lettuce
Grammar:parentheses,capitalization,modifier,grammatical,dialect,syntactic,adjective,exclamation point,parenthesis,linguist,idiom,pronoun,personal pronoun,reflexive pronoun,semicolon,hyphen,phonology,conjugation,antecedent,anagram,superlative,apostrophe,simile,inflection,colloquial,adverb,ellipsis,preposition,quantifier,participle
Emotion:defiant,vigilant,shaky,astonished,forgiving,hysterical,loathing,virtuous,affectionate,hesitant,intimidated,discontent,harassed,skillful,edgy,cordial,comical,considerate,intolerant,agitated,treacherous,insulted,glee,idealistic,unworthy,expectant,resourceful,ferocious,speechless,prejudicial
Dog:poodle,sled dog,corgi,Welsh corgi,coon hound,cocker spaniel,American cocker spaniel,Mexican hairless,great Pyrenees,dachshund,cairn terrier,basset hound,papillon,mastiff,old English sheepdog,schnauzer,miniature schnauzer,harrier,growl,herding dog,akita,dingo,purebred,Dalmatian,Pomeranian,pinscher,Doberman pinscher,feist,spitz,weimaraner
Dentist:chew,rinse,palate,fluoride,numb,toothbrush,ache,floss,inlay,gums,toothpaste,painless,retainer,incision,sealant,molar,periodontal,anesthetic,suture,abscess,amalgam,dentures,caries,bristle,checkup,toothpick,hygienist,orthodontist,toothache,gingivitis,endodontics,whiten,incisor,gargle,malocclusion,bicuspid,premolar,cuspid,overbite
Food:macaroni,fillet,mayonnaise,ketchup,prune,scallops,papaya,foodstuffs,mints,cauliflower,mozzarella,oregano,artichoke,pita bread,rations,licorice,marinade,entree,lasagna,capers,burrito,frosting,molasses,filet,cilantro,marmalade,dandelion greens,fennel,nourishment,nourish
Weather:gully washer,whirlwind,thaw,foggy,evacuate,nimbus,occlusion,droplets,boreal,tremor,drizzle,Tropic of Cancer,Tropic of Capricorn,fire whirl,swirling,lightening,flurry,snow flurry,stratosphere,weathering,wind vane,weather vane,dreary,shiver,climatology,subtropical,cumulus,inclement,haar,deluge
Fish:goldfish,snapper,piranha,tetra,walleye,moray eel,pompano,halibut,shad,flounder,mullet,mackerel,stingray,manta ray,tarpon,grouper,bony fish,swordfish,blowfish,minnow,scallop,betta,haddock,basking shark,mako shark
Flower:primrose,petal,wildflowers,hibiscus,yucca flower,columbine,aster,mayflower,dogwood,carnation,canna,calla lily,geranium,dahlia,dandelion,azalea,larkspur,marigold,buttercup,hydrangea,honeysuckle,crocus,pansy,peony,daffodil
Filmmaking:callback,stunt,antagonist,decorator,protagonist,dailies,publicist,storyboard,backstory,clapper,gaffer,squib,recordist,gofer
Farm:incubator,plow,hatchery,yak,llama,shovel,bale of hay,windmill,sickle,hive,boar,beehive,shears,insecticide,mulch,harvester,scarecrow,silo,roost,foal,tiller,pail,gander,piglet,ewe,fallow,haystack,trowel,machete,duckling,scythe,honeybee,udder,baler,cultivator,pickaxe,weeder,pullet,poult
Christmas:pageant,nativity,Epiphany,incarnation,shepherds,angelic,egg nog,flocks,parades,Magi,tidings,Scrooge,stocking stuffers,mince meat,myrrh,astrologers,alleluia,frankincense,creche,Yuletide,fruitcake
Injury:blister,scrape,dislocation,bruise,sprain
Negative Feeling:cheated,sarcastic,cranky,grumpy,defiant,powerless,hysterical,pessimistic,pressured,puzzling,disgusted,harassed,discriminated against,hindered,doubted,horrified,edgy,desolate,despised,disliked,dazed,humiliated,neurotic,petrified,enraged,dismayed,bullied,apprehensive,cornered,disapproved of
Energy:thermodynamics,methanol,windmill,dynamo,shale,photovoltaic,photovoltaic panel,hydroelectric,flywheel,wattage,erg,liquefied petroleum gas,therm,reciprocating engine,kilowatt,kilowatt hour,bituminous coal,accumulator,radiate,hydrothermal,anthracite coal,megawatt,joule
Ocean:hermit crab,manatee,moray eel,ebb tide,pompano,seagull,seaweed,starfish,shad,kelp,kelp forest,jellyfish,flounder,mullet,mackerel,phytoplankton,stingray,manta ray,tarpon,plankton,abalone,grouper,swordfish,urchin,sea urchin,walrus,blowfish,shipwreck,scallop,humpback whale
City Name:Calais,Grenoble,Leiden,Montpellier,Pau,Maastricht,Eindhoven,Delft,Nantes,Groningen,Lucerne,Dijon,Hialeah,Avignon,Brest,Rennes,Dordrecht,Rouen,Caen,Biel,Cham,Angers,Tilburg,Dunkirk,Arnhem,Reims,Montfort,Toulon,Breda,Antibes
Wine:pinot,merlot,shiraz,chianti,muscat,riesling,zinfandel,claret,chablis,beaujolais,grappa,lambrusco
Biology:communicable,edema,gaseous,gestation,chlorophyll,mildew,deciduous,photosynthesis,chromatic,osmosis,invertebrate,atrophy,synapse,fibrillation,unsaturated,amphibian,permeable,insoluble,interdependent,plankton,grafting,juncture,recessive,heredity,convolution,extermination,gills,epidermis,hibernation,insulate
Vegetables:yam,avocado,eggplant,zucchini,sprouts,Brussels sprouts,seaweed,cauliflower,artichoke,capers,leek,dandelion greens,fennel,kale,gourd,rhubarb,lentils,chard,Swiss chard,beets,taro,wasabi,romaine,turnip,radish
Visual Arts:hue,etching,glaze,mural,calligraphy,eraser,portray,airbrush,sculptor,carve,easel,quill,varnish,lithograph,fresco,chisel,batik,assemblage,crayon,vellum,hatching,sketchbook,seascape,tempera,egg tempera,sculpt,decoupage,tole painting,pounce,paintbrush,gouache,woodcut,woodcut print,linseed oil,turpentine,gilding,maquette,undertone,encaustic,marbling,gesso,glassblowing,waterscape,stippling
Beef:shank,flank,tenderloin,strip loin,sirloin,sirloin tip,brisket,porterhouse
Furniture:hutch,glider rocker,futon,armchair,pantry,hammock,bookcase,cupboard,pew,room divider,headboard,armoire,easel,drapes,recliner,drapery,chaise,chaise lounge,sconce,curio,divan,bassinet,sideboard,loveseat,nightstand,trundle bed,lounger,shoji screen,settee,credenza,footstool,waterbed,highchair,footrest,lintel,cubbies,bentwood rocker,vitrine,pouf,fauteuil,banquette,breakfront
Animal:basset hound,gila monster,flounder,moa,vertebrates,mackerel,amphibian,platypus,duck billed platypus,rhea,common rhea,bonobo,albatross,stingray,foal,manta ray,mastiff,old English sheepdog,tarpon,plankton,sloth,abalone,plover,American golden plover,puffin,gander,grouper,chinchilla,bony fish,swordfish
Wood Burning Stove:flue pipe,flue damper,firebox,log tongs,baffle,pothole lid
Crime:kidnapping,smuggling,espionage,treason,arson,burglar,burglar alarm,bribery,perjury,forgery,robber,slander,blackmail,manslaughter,hijacking,alibi,vandal,trespassing,smuggler,shoplifting,strangle,hijacker,mugger,mugging,kidnapper,pickpocket,bigamy,arsonist,shoplifter,blackmailer
Cotton:flannel,chino,corduroy,jacquard,velour,chenille,pique,gingham,pinstripe,damask,poplin,voile,broadcloth,chambray,moleskin,gabardine,pointelle
Sound:booming,grating,rowdy,thundering,muffled,hushed,deafening,blaring
School:cheering,dividers,clique,easel,cleats,crayons,memorize,parochial,janitor,watercolors,ballpoint,ballpoint pen,classmate,sharpener,pencil sharpener,stapler,headmaster,scribble,yardstick,highlighter,highlighters,memorization,cubby hole,protractor,flunk
Music:coda,reverb,bongo,adagio,piccolo,counterpoint,bassoon,normalize,triplet,cymbal,limiter,bugle,metronome,transpose,molto,fader,convolution,legato,truncate,fugue,dissonance,andante,libretto,harmonize,crescendo,stave,clef,tambourine,marimba,sempre
Bird:fledgling,sandpiper,roost,rook,moa,ruby throated hummingbird,rhea,common rhea,beak,albatross,plover,American golden plover,flycatcher,puffin,gander,frigate,kestrel,birdhouse,buzzard,starling,magpie,thrasher,trumpeter swan,snipe,pygmy owl,skylark,egret,snowy egret,great egret,auk
Driving:roundabout,expressway,airbag,kilometer,chauffeur,causeway,detour,carpool,carpool lane,kph,HOV lane,gridlock,overpass,speedometer,idling,cobblestone,oncoming traffic,hairpin curve,superhighway,underpass,cloverleaf,gearshift,switchbacks
Bathroom:laundry hamper,toothbrush,floss,dental floss,ointment,toothpaste,restroom,moisturizer,lavatory,bandages,plunger,disinfectant,tweezers,antiseptic,washroom,urinal,bidet,swabs,bathrobe,mouthwash,wastebasket,curlers,atomizer,hairbrush,talcum power,loofah,droppers,eyedropper
Body:esophagus,rectum,pelvis,circulatory system,ligament,pinky,buttocks,armpit,molar,tibia,eyelid,gallbladder,follicle,intestines,moustache,cervical vertebrae,lumbar vertebrae,femur,larynx,instep,thorax,urethra,testes,trachea,eyelashes,mandible,fallopian tubes,fingernail,patella,buttock
Clothes:poncho,hazmat suit,overalls,garb,suspenders,girdle,kimono,wetsuit,knickers,handkerchief,slacks,garters,loafers,V necked sweater,chemise,singlet,turtleneck,turtleneck shirt,turtleneck sweater,flak jacket,fez,tutu,leggings,coveralls,toga,moccasins,waders,underpants,beret,leotard
Summer:thunderstorm,sunscreen,watermelon,Frisbee,seashore,blistering heat,searing heat,stifling,popsicle,sweltering,sandcastle,muggy,sundress
Sport:handball,sledding,hardball,wetsuit,croquet,volley,volley ball,orienteering,telemark skiing,weightlifting,motorcycling,shortstop,hurling,infield,tracksuit,luge,backstroke,outfield,quiver,sportsmanship,biathlon,gymnast,breaststroke,bunt,outfielder,skeet shooting,huddle,dribble,steeplechase,decathlon
Measure:tablespoon,grit,bale,karat,tonne,kilometer,square kilometer,fermi,hectare,kilo,millimeter,fathom,kilogram,quartile,ream,furlong,centimeter,cubic centimeter,square centimeter,bushel,nanometer,yardstick,radian,spoonful,milligram,sheaf,microgram,skein,angstrom,cubit,milliliter,megaton,parsec,smidgen,hundredweight,octant,deciliter,decimeter,pennyweight
Reptile:garter snake,adder,bearded dragon,horned lizard,anaconda,snapping turtle,iguana,green iguana,twig snake,veiled chameleon,gila monster,rattlesnake,collared lizard,diamondback rattlesnake,spiny lizard,water moccasin,mamba,loggerhead turtle,caiman,black caiman,copperhead,osage copperhead,basilisk,timber rattler,boa constrictor
Food:legumes,kale,gastronomy,rhubarb,toffee,lentils,broil,crumble,spatula,horseradish,hazelnut,pomegranate,lollipop,chard,Swiss chard,yolk,gyro,marshmallow,milkshake,venison,chutney,lard,granola,buckwheat,taro,wasabi,cobbler,mutton,sustenance,ravioli
Happiness:energized,zest for life,ecstatic,lovable,pastime,grinning,revel in,glee,savor,gratifying,buoyant,chipper,contented,diverting,blissful,endearing,good natured,heartwarming,tickled pink,cheery,mirth,beaming,elated,amiable,fervor,likable,elation,stoked,exuberance,genial
Animal:gibbon,urchin,sea urchin,walrus,piglet,blowfish,sidewinder,minnow,gnat,larva,starling,scallop,wombat,ewe,gelding,bighorn sheep,basking shark,chimpanzee,trumpeter swan,gazelle,humpback whale,woolly mammoth,woolly bear caterpillar,dingo,crayfish,rattlesnake,water strider,jackal,sea anemone,collared lizard
World:Punjabi,Telugu,Cree,Khmer,Malayalam,Kannada,Nepali,Kyrgyz,Uzbek,Gujarati,Tahitian,Hmong,Malagasy,Belarusian,Manx Gaelic,Kazakh,Marathi,Hausa,Kashmiri,Yoruba,Tajik,Yue,Turkmen,Berber,Twi,Fijian,Slovene,Javanese,Pashto,Frisian,Amharic,Oriya,Quechua,Igbo,Xhosa,Sindhi,Assamese,Hakka,Sunda,Inuktitut,Chipewyan,Fula
Baseball:dugout,second baseman,first baseman,third baseman,mitt,catcher mitt,teammate,bullpen,knuckle ball,hardball,shortstop,slugger,infield,outfield,sportsmanship,bunt,fastball,sinker,screwball,underhand throw,overhand throw,batboy,spitball,knuckleball
Mammal:aardvark,platypus,duck billed platypus,bonobo,sloth,chinchilla,gibbon,walrus,wombat,bighorn sheep,chimpanzee,gazelle,humpback whale,woolly mammoth,dingo,howler monkey,armadillo,Dalmatian,shrew,tree shrew,placental mammals,baboon,rhinoceros,woolly rhinoceros,ibex,three toed sloth,loris,chipmunk,beluga whale,lemur
Predator:cheetah,barracuda,eel,salamander,chimpanzee,dingo,jackal,petrel,fossa,mamba,ocelot,skua,civet,mandrill,serval
Apex Predators:cheetah,barracuda,eel,salamander,chimpanzee,dingo,jackal,petrel,fossa,mamba,ocelot,skua,civet,mandrill,serval
Military:napalm,bombardment,rout,cordon,chock,overtake,armament,catapult,gunpowder,bulkhead,salvo,snipe,swab,bilge,cleat,yaw,landfall,bogey,skirmish,yeoman,fortification,phalanx,freighter,belay,shackle,machete,encampment,sortie,armistice,quartermaster
Pasta:ribbed macaroni,lasagna,curly lasagna,ravioli,turrets,tortellini,vermicelli
Instrument:tuba,baritone,cymbals,crash cymbals,piccolo,bassoon,cymbal,ride cymbal,splash cymbal,bugle,scraper,cornet,sizzle cymbal,cowbell,conga,marimba,bell lyre,euphonium,xylophone,bongos,timpani,vibraphone,flugelhorn,maracas,timbales,castanets,glockenspiel,sousaphone,castanet
Monster and Mythical Beast:yeti,colossus,ryu,nymph,tree nymph,fiend,banshee,medusa,chimera,centaur,Cerberus,cyclops,leviathan,behemoth,golem,cherub,gargoyle,hag,abominable snowman,leprechaun,ghoul,crone,jinn,djinn,changeling,basilisk,dryad,merman,gorgon,harpy,bogeyman,kelpie,Polyphemus
Animal:chrysalis,howler monkey,mako shark,egret,great egret,armadillo,nine banded armadillo,tarantula,Dalmatian,shrew,tree shrew,placental mammals,quetzal,conch,queen conch,weevil,heifer,zebra bullhead shark,seahorse,spiny lizard,pomeranian,Doberman pinscher,tadpole,baboon,hammerhead shark,rhinoceros,woolly rhinoceros,white rhinoceros,zooplankton,pooch
Job:sculptor,ballerina,chauffeur,mathematician,shoemaker,geologist,strategist,forman,linguist,copywriter,archaeologist,statistician,typist,shorthand typist,botanist,watchmaker,beautician,stewardess,fish monger,physiologist,milkman,dressmaker,zoologist,stenographer,newscaster,orchestrator,key puncher,druggist,greengrocer,saleswoman
Emotion:opinionated,dainty,repulsive,petrified,enraged,resolute,zealous,shivering,perturbed,cheery,feisty,exuberant,surly,inquisitive,apprehensive,irritate,somber,elated,conflicted,malevolent,zany,antagonistic,flattered,hunch,ridiculed,frigid,distraught,astounded,haughty,apathetic
Color:reddish yellow,bisque,sepia,vermilion,nimbus grey,taupe,pied,carnation,fuchsia,tawny,mauve,geranium,terracotta,Prussian blue,carmine,hyacinth,bluish white,bluish yellow,periwinkle,claret,wisteria,sorrel,umber,burnt umber,feldspar,citron,goldenrod,chartreuse,ecru,persimmon,cerulean,russet,celadon,ultramarine,viridian,cerise,chalky,puce,florid,sallow,lias,calamine blue,cochineal,ocher
Leisure Activity:aikido,slalom,mahjong,javelin throw,sledding,croquet,weightlifting,pampering at a spa,hurling,luge,biathlon,panning for gold,houseboat,skeet shooting,decathlon,horseshoes,texting,telephoning,internet perusing,acrobatics,shuffleboard,vaulting,jai alai,go carting,calisthenics,tobogganing,bobsledding
Temperature:sizzling,blistering,searing,frigid,scalding,nippy
Insect:robber fly,metamorphosis,ladybug,grasshopper,gossamer winged butterfly,gnat,larva,woolly bear caterpillar,water strider,chrysalis,weevil,borer,wood borer,cockroach,midge,imago,viceroy butterfly,aphid,maggot,bumblebee,snout butterfly,pupa,honeybee,cicada,milkweed bug,water boatman,silkworm,louse,swallowtail butterfly,zebra swallowtail butterfly
Spring:sprout,foal,vernal equinox,crocus,daffodil,hyacinth,tadpole,narcissus,raincoat,puddles,slicker,snowdrop,galoshes
Cat:Egyptian mau,Siamese,siamese,marmalade,mouser,tabby,balinese,Manx,clouded leopard,angora,Turkish angora,javanese,Javanese,ocelot,longhair,bobtail,serval,margay,caracal
Pirate:shiver me timbers,cutlass,ferocious,unscrupulous,gunpowder,contraband,ahoy,treachery,swab the deck,heist,barbaric,cutthroat,prowl,fearsome,buccaneer,marauder,maggot,thievery,privateer,skiff,vanquish,quartermaster,pillage,outcasts,galleon,musket,swagger,confiscate,sextant,scurvy
Water:narrows,drenched,gulch,drizzle,watery,hydropower,snow flurry,moat,permeable,islet,headwaters,shoal,aqueduct,slush,fjord,waterworks,seepage,watertight,soggy,geyser,meander,sleet,snowstorm,brackish water,seep,bight,oxbow,icicle,fluvial,rime,artesian well,impermeable,swampy,downpour,irrigate,shallows,drinkable,snowmelt,waterlogged,divining rod,rivulet,cloudburst,waterwheel,waterspout
Fortification:bastion,moat,watchtower,palisade,stockade,drawbridge,redoubt
Building Material:asphalt shingle,wood shingle,perforated hardboard,plasterboard,metal lath
Food:ladle,tapioca,cashew,meatloaf,sorbet,quiche,cassava,cupcake,romaine,pretzel,tartar,turmeric,doughnut,turnip,teriyaki,radish,anise,pepperoni,chopsticks,poached,nibble,slaw,salami,sundae,sorrel,chives,curd,citron,sprinkles,guacamole
Physics:projectile,quanta,resistivity,positron,boson,refraction,gravitation,sublimation,isobaric,coulomb,fulcrum,buoyant,modulate,copernicus,parallax,brownian,albedo,adiabatic,cyclotron,advection,radian,repulsion,ampere,seismology,quandary,baryon,decibel,joule,sir issac newton,isothermal,gyroscope,candela,maser,attenuate,kaon,rectilinear,exothermic,achromatic,farad,antiproton,endothermic,irradiate,chromatics
Movement:crouch,ramble,gallop,stagger,slog,amble,hobble,scamper,hurtle
Chemical Elements:Molybdenum,Radium,Vanadium,Beryllium,Antimony,Zirconium,Strontium,Gallium,Krypton,Fluorine,Bismuth,Tantalum,Germanium,Cesium,Neodymium,Bromine,Indium,Thorium,Technetium,Thallium,Niobium,Ruthenium,Gadolinium,Lanthanum,Yttrium
Weather:flurries,snowflakes,slush,variegated,mistral,mistral wind,landfall,leeward,squall,squall line,meteorologist,barometric pressure,scorching,cyclonic flow,sandstorm,frigid,sleet,downwind,raindrops,snowstorm,permafrost,troposphere,blimp,puddles,eddies,icicle,wintry,upwelling,centigrade,balmy
Animal:dodo,oriole,toucan,keel billed toucan,dory,John Dory,three toed sloth,cockroach,venomous animals,midge,imago,viceroy butterfly,loris,songbird,chipmunk,aphid,maggot,beluga whale,diatom,downy woodpecker,water moccasin,lemur,ring tailed lemur,bumblebee,amoeba,oryx,bullfrog,hyena,macaw,scarlet macaw
Flower:gardenia,hyacinth,bluebonnet,anemone,mistletoe,trillium,rhododendron,camellia,mimosa,narcissus,bellflower,carrion flower,edelweiss,chrysanthemum,lantana,mallow,wisteria,calendula,goldenrod,poinsettia,oleander,phlox,freesia,begonia,cornflower,chicory,safflower,bitterroot,delphinium,foxglove
House:gutters,ashtray,shingle,skylight,trellis,eaves,tenement,igloo,playroom,lawnmower,carport,wigwam,stoop,front stoop,overhang,doghouse,girder,brownstone,portico,rafter,dormer,paneling,baseboard,entryway,cornice,jamb,door jamb,doorknob,soffit,yurt,lintel,newel,wainscoting,tepee,downspout,inglenook,baluster,dustpan
Bird:belted kingfisher,Aves,gosling,quetzal,oriole,toucan,grebe,nighthawk,ornithology,songbird,aviary,vireo,downy woodpecker,cormorant,shrike,screech owl,macaw,scarlet macaw,duckling,cockatoo,chickadee,seabird,incubate,parakeet,shearwater,petrel,budgie,curlew,tanager,coot
Time:momentarily,revolve,stopwatch,vernal equinox,bicentennial,jiffy,wristwatch,sundial,yesteryear,tardy,punctual,timepiece,millisecond,timekeeper,chronometer,autumnal equinox,horology,nanosecond,sidereal time,microsecond,picosecond,gnomon,midmorning,triennium,quaver
Personal Characteristic:tireless,apprehensive,methodical,amiable,audacious,industrious,punctual,amicable,genteel,dutiful,expressivity
Construction:miter,eaves,transom,burl,isometric,nailer,gusset,scab,bulldozer,girder,dowel,ampere,pumice,dado,rosin,rafter,dormer,caulk,berm,pergola,cornice,mastic,swale,joist,flagstone,coped,rasp,turpentine,screed,aerator
Fire:ignite,broil,sear,scorch,kindle,singe,smolder,parch,swelter
Transportation:surfboard,catamaran,streetcar,hovercraft,seaplane,freighter,motorboat,speedboat,rowboat,hydrofoil,ferryboat,dogsled
Emotion:seething,callous,exuberance,quivering,uptight,terse,sickly,aggravate,belligerent,repugnant,disagreeable,livid,forlorn,insensitivity,euphoric,sullen,overjoyed,trepidation,dictatorial,distaste,wistful,thoughtless,villainous,crabby,dazzled,obstinate,inconsiderate,grouchy,vindictive,revulsion
