Degree:degree,master,certificate,doctor,bachelor,diploma
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Salad Dressing:oil and vinegar,house dressing,blue cheese,thousand island,French dressing,ranch,vinegar
Bill:write a check,account number,check book,credit card,amount due,cash,overdue
Continent:South America,North America,Australia,Europe,Africa,Asia,Antarctica
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Money:bill,quarter,dollar,cent,coin,penny,nickel,dime
Storage:bureau,cabinet,chest,buffet,bookshelf,bookcase,sideboard,credenza
Luggage:carry on bag,makeup case,tote bag,garment bag,duffle bag,luggage carrier,trunk,suitcase,knapsack
New Year:January,December,party,calendar,holiday,resolution,midnight,celebrate,countdown
Football:end,middle guard,guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Headgear:baseball cat,cap,hat,ear muffs,helmet,scarf,bandana,beret,hardhat
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Harbor:ship,dock,crane,lighthouse,wharf,buoy,shipyard,breakwater,tugboat
Algorithms:partial,uniform,median,binary,inclusive,optimal,balanced,spatial,threaded,counting,boolean,finite,approximate,weighted,blocking,adaptive,persistent,relaxed,concurrent,feasible,descent,inverse,bounded,randomized,symmetric,polynomial,shortest,recursive,cyclic,exponential,planar,naive,greedy,sparse,inverted,exhaustive,ascent,quadratic,deterministic,orthogonal
Writing:genre,novel,plot,assignment,deadline,pace,outline,dialogue,bibliography,hook,narrative,formatting,myth,imprint,manuscript,autobiography,anthology,premise,motif,analogy,metaphor,parody,haiku,pun,ambiance,antagonist,parable,byline,cliche,pseudonym,novella,allegory,diction,boilerplate,euphemism,backlist,denotation,denouement,epigram,frontlist
Job:nurse,actor,baker,broker,clerk,farmer,soldier,chef,priest,actress,poet,musician,pastor,athlete,carpenter,sailor,dentist,accountant,barber,mechanic,banker,pharmacist,rabbi,tailor,politician,fisherman,butcher,magician,craftsman,veterinarian,salesman,waiter,policeman,waitress,crook,burglar,chauffeur,shoemaker,watchmaker,beautician
Crime:prison,escape,fraud,murder,armed,ban,knife,investigate,assault,weapon,burglar alarm,arrest,jail,conspiracy,steal,bail,genocide,riot,robbery,homicide,burglary,kidnapping,smuggling,espionage,treason,arson,burglar,bribery,perjury,forgery,slander,blackmail,manslaughter,hijacking,alibi,trespassing,shoplifting,strangle,mugging,bigamy
Container:container,trunk,tin,basin,luggage,tub,tray,cube,cooler,barrel,jar,purse,vault,pod,drawer,backpack,bucket,vase,pouch,locker,tote,sack,baggage,crate,carton,urn,briefcase,jug,hutch,suitcase,canister,flask,vial,casket,canteen,satchel,cask,attache,beaker,coffer
Christmas:stockings,celebrate,mince meat,candy cane,Jerusalem,greetings,punch,egg nog,ham,pumpkin pie,cranberry sauce,merry,dressing,miracle,Gloria,Advent,Noel,goodwill,prophecy,donkey,ceremonies,plum pudding,stocking stuffers,Bethlehem,brandy,jubilee,Savior,Emmanuel,proclamation,pageant,nativity,Epiphany,incarnation,shepherds,angelic,flocks,parades,Magi,tidings,Scrooge
Food:cuisine,beans,spice,nut,sandwich,yeast,pasta,flour,poultry,liquor,soy,chili,steak,dessert,shrimp,salsa,mayo,soda,foie gras,cocoa,mushroom,toast,burger,syrup,sweets,cereal,fats,vinegar,pastry,pudding,aroma,peanuts,yogurt,cider,biscuit,stew,batter,noodles,hamburger,glaze
Plants:brush,bean,sage,sap,berry,jungle,nut,weed,herb,moss,cork,spine,lily,resin,bulb,flora,bud,bamboo,ivy,vine,bark,vein,clover,cactus,pollen,juniper,fern,acorn,shrub,thorn,corolla,nectar,alfalfa,stalk,petal,kelp,sprout,twig,spore,kudzu
Car Parts:starter,brake,tire,differential,cabin,horn,cylinder,bumper,heater,alternator gauge,dashboard,booster,clutch,glove compartment,accelerator,compressor,radiator,manifold,rotor,windshield,windshield wiper,headlight,condenser,strut,canister,gearbox,muffler,alternator,caliper,windscreen,ashtray,drivetrain,odometer,crankshaft,tachometer,speedometer,taillight,hubcap,blinker,gearshift
Water:pond,dam,coral,canal,fork,rapids,reef,brook,cove,reservoir,marsh,playa,inlet,glacier,strait,lagoon,swamp,kettle,loch,arroyo,bayou,estuary,bog,iceberg,cataract,fen,tributary,gully,puddle,narrows,gulch,moat,islet,shoal,fjord,geyser,meander,bight,shallows,rivulet
Character:lazy,generous,brutal,annoying,brave,savage,clever,neat,stern,relaxed,loyal,cruel,eager,humble,rude,ambitious,messy,energetic,grim,vain,humane,vicious,tense,polite,cautious,selfish,daring,witty,cheerful,respectful,graceful,adventurous,brute,trusting,stubborn,inventive,meek,obnoxious,forgiving,timid
Color:coral,ivory,auburn,emerald,champagne,tomato,lime,denim,beige,violet,charcoal,rust,crimson,indigo,asphalt,burgundy,plum,chestnut,maroon,cobalt,canary,bordeaux,magenta,cyan,teal,khaki,caramel,sienna,celeste,azure,avocado,aquamarine,bisque,fuchsia,claret,feldspar,citron,chartreuse,ecru,cerulean
Weather:fog,mild,thunder,tsunami,frost,freeze,dew,chill,freezing,hail,tornado,rainy,cyclone,windy,thermometer,blizzard,damp,arid,overcast,meteorology,Fahrenheit,snowy,icy,typhoon,barometer,stormy,chilly,breezy,Celsius,humid,thunderstorm,frosty,cirrus,foggy,drizzle,sleet,snowstorm,wintry,rainstorm,smoggy
Tool:hammer,adjustable wrench, basin wrench,putty knife,lawn rake,monkey wrench,lawn edger,finishing sander,spading fork,torch,locking pliers,jigsaw,propane torch,bulb dibble,scissors,hedge shears,brace,wrench,rake,spade,hoe,screwdriver,pliers,pruning shears,shovel,weeding hoe,mallet,chisel,vise,scraper,stapler,plunger,lopping shears,trowel,hacksaw,dibble,seeder,mattock,handsaw,weeder
Vegetable:potato,onion,tomatoes,garlic,peas,tomato,bean sprouts,Brussels sprouts,pumpkin,popcorn,cabbage,spinach,carrot,cucumber,lettuce,broccoli,pumpkins,celery,asparagus,soybeans,yam,eggplant,beet,cauliflower,Brussel sprouts,leek,kale,lentils,chard,turnip,radish,okra,turnips,chicory,shallot,parsnip,chive,scallion,rutabaga,kohlrabi
Animal:puma,lynx,panther,panda,kitten,lobster,zebra,donkey,calf,badger,squirrel,leopard,gorilla,kangaroo,crocodile,snail,rooster,hamster,cougar,scorpion,alligator,octopus,cheetah,llama,giraffe,goldfish,ostrich,bobcat,porcupine,aardvark,chimpanzee,gazelle,armadillo,baboon,rhinoceros,hyena,hippopotamus,wallaby,ocelot,anteater
Bird:fowl,ostrich,grouse,thrush,seagull,stork,covey,vulture,rook,rhea,albatross,puffin,gander,kestrel,buzzard,starling,magpie,snipe,skylark,gosling,quetzal,toucan,cormorant,shrike,macaw,duckling,cockatoo,chickadee,parakeet,budgie,tanager,coot,goldfinch,cockatiel,avocet,pintail,ptarmigan,darter,jackdaw,razorbill
Business:transport,employee,difference,accept,goal,install,count,permission,reduce,guarantee,competition,limit,prevent,improvement,suggest,avoid,manage,separate,reach,comparison,produce,profit,advertisement,promote,advantage,maintain,fix,measure,obtain,rise,reduction,signature,factory,promotion,establish,employer,participate,agenda,respond,deliver,confirm,inventory,objective,estimate,encourage,cancel,salary,raise,decide,split
Music:paint,delay,pan,loop,instrument,split,shift,piano,echo,reverse,pulse,strip,strike,opera,duration,gate,tone,stereo,tube,cache,console,composition,solo,repeat,drum,amp,phrase,pad,slip,swing,offset,jam,singer,plugin,arrangement,stretch,timing,sing,carol,stack,stem,tune,compression,trim,interval,pitch,midi,bend,vocal,organ
Military:captain,liberty,gang,pipe,lay,deck,yard,radar,rack,brass,wake,sight,charlie,shoot,hook,knife,founder,stack,stem,bearing,trim,fleet,commander,interval,directive,mate,bow,bingo,pole,sword,tap,anchor,pit,drill,raid,withdrawal,screw,cabin,boom,trap,alignment,latitude,judy,envelope,mess,retreat,hull,buck,reef,basement
Business:cancel,salary,raise,decide,split,calculate,mention,possibility,promise,explanation,extend,penalty,decrease,refund,deadline,confirmation,inform,mistake,afford,repairs,authorization,retailer,margin,suggestion,invest,approve,admit,distribute,advise,enquiry,refuse,organize,invoice,succeed,reminder,divide,deficit,reject,dispatch,employ,remind,turnover,complain,authorize,recruit,borrow,convince,competitor,owe,lend
Business:explanation,extend,penalty,decrease,refund,deadline,confirmation,inform,mistake,afford,repairs,authorization,retailer,margin,suggestion,invest,approve,admit,distribute,advise,enquiry,refuse,organize,invoice,succeed,reminder,divide,deficit,reject,dispatch,employ,remind,turnover,complain,authorize,recruit,borrow,convince,competitor,owe,lend,debtor,disadvantage,dismiss,apology,creditor,wholesaler,resign,shorten,lengthen
City Name:indianapolis,norfolk,barcelona,moscow,madrid,raleigh,beijing,calgary,honolulu,omaha,vienna,arlington,bangkok,geneva,reno,brussels,shanghai,albuquerque,riverside,wichita,henderson,chula vista,monaco,den haag,aurora,milan,grave,den helder,mesa,edmonton,lexington,anaheim,munich,gilbert,dubai,mumbai,vatican,gibraltar,greensboro,tulsa,newark,istanbul,baton rouge,frankfurt,sao paulo,fresno,anchorage,chandler,toledo,boise
Music:pitch,midi,bend,vocal,organ,paste,composer,mono,timber,horn,snap,triangle,arrange,dominant,marker,envelope,rhythm,symphony,grave,punch,sync,microphone,surround,amplifier,alto,accent,musician,merge,align,groove,violin,render,pause,notation,auxiliary,percussion,bounce,melody,flute,cue,sweep,fade,trumpet,tempo,shortcut,compressor,chord,hum,modulation,latency
Corporate:innovation,expertise,deck,vector,skill,brass,legacy,functionality,bandwidth,talent,sunset,dialogue,methodology,scenario,baseline,alignment,cowboy,schema,ping,convergence,lateral,paradigm,niche,deploy,metrics,shrink,linkage,runway,upside,empowerment,sidebar,synergy,imperative,onboard,disconnect,scrub,pivot,kudos,kicker,noodle,simmer,whiteboard,deliverable,ballpark,populate,gatekeeper,unpack,silo,hardball,resonate
Algorithm:sum,grid,algorithm,graph,segment,leaf,median,diameter,pointer,stack,tail,complexity,interval,conjunction,sink,queue,rotation,prefix,hash,vertex,occurrence,relaxation,alphabet,bucket,collision,heap,suffix,iteration,exponential,ancestor,predicate,recurrence,fractal,adversary,recursion,clique,permutation,negation,automaton,radix,factorial,centroid,trie,polytope,digraph,deque,poset,octree,quadtree,bisector
Sport:gym,pitch,bow,para gliding,pole,relay,compete,scuba diving,swim,bicycle,dive,offense,polo,olympics,medal,bat,volleyball,scuba,helmet,hang gliding,softball,vault,sail,snowboard,skate,athlete,jumper,lacrosse,snowboarding,squash,canoe,racer,fencing,gymnastics,referee,kite,archer,karate,kayak,loser,diver,hoops,dart,paddle,hoop,inning,badminton,triathlon,surfer,batter
Geography:desert,woods,globe,gulf,atlas,canyon,projection,pole,oasis,pond,prairie,canal,cave,latitude,mesa,reef,peninsula,elevation,cliff,cove,reservoir,continent,longitude,marsh,altitude,compass,meridian,contour,wetland,volcano,glacier,strait,lagoon,swamp,butte,plateau,waterfall,dune,estuary,tundra,archipelago,equator,tropics,azimuth,atoll,tributary,fjord,geyser,riverbed,landform
Building:mill,stadium,cottage,arch,depot,motel,chapel,capitol,embassy,marina,jail,bowling alley,manor,shed,pavilion,barn,hostel,cathedral,dome,vault,monument,abbey,bakery,observatory,duplex,lighthouse,chateau,supermarket,fortress,chalet,shrine,foundry,monastery,mosque,bunker,crypt,kiosk,refinery,barracks,gazebo,hangar,armory,dormitory,spire,silo,pagoda,skyscraper,cabana,rectory,triplex
Military:retreat,hull,buck,reef,basement,extraction,exec,gig,breach,mud,dip,nest,ladder,heel,heater,cannon,bracket,longitude,pike,rifle,pile,glove,stern,infantry,bounce,pier,fender,surrender,deploy,goo,shooter,compartment,turbine,relieve,knot,spear,pistol,haul,rig,axe,fortress,artillery,siege,mast,wharf,shotgun,swell,chow,mortar,helm
Christmas:pie,candles,sacred,stockings,celebrate,mince meat,candy cane,Jerusalem,greetings,punch,egg nog,ham,pumpkin pie,cranberry sauce,merry,dressing,miracle,Gloria,Advent,Noel,goodwill,prophecy,donkey,ceremonies,plum pudding,stocking stuffers,Bethlehem,brandy,jubilee,Savior,Emmanuel,proclamation,pageant,nativity,Epiphany,incarnation,shepherds,angelic,flocks,parades,Magi,tidings,Scrooge,myrrh,astrologers,alleluia,frankincense,creche,Yuletide,fruitcake
3D Graphics:horizon,transform,gravity,cube,rotation,fur,hull,cylinder,texture,cage,ambient,merge,shine,vertex,sphere,pose,render,constraint,cone,bucket,bounce,collision,sketch,simplify,sweep,helper,lattice,skeleton,rotate,rig,prism,simulate,diffuse,polygon,dope,integrator,tangent,attenuation,teapot,animate,skew,spline,intersect,distort,occlusion,torus,shader,specular,ragdoll,voxel
Construction:arbor,resin,granite,primer,adhesive,gum,saddle,rigid,pier,lumber,slate,stain,elbow,gloss,porch,notch,gravel,jigsaw,asphalt,solvent,stool,fuse,knot,radial,runoff,insulated,fixture,darby,enamel,soluble,siding,warp,limestone,filler,datum,laminated,molding,laminate,slab,mortar,pedestal,faucet,drip,conduit,ply,plaster,sleeper,biscuit,piles,tread
City Name:fresno,anchorage,chandler,toledo,boise,scottsdale,irvine,jakarta,macau,corpus christi,irving,lyon,santiago,stein,johannesburg,warsaw,lisbon,buenos aires,zurich,stockton,seoul,taipei,garland,fremont,glendale,oss,chesapeake,kuala lumpur,bordeaux,gland,cannes,basel,bakersfield,sion,plano,rotterdam,wil,lubbock,toulouse,bern,marseille,baden,utrecht,strasbourg,thorn,versailles,laredo,metz,lille,lausanne
Physics:crest,absorption,dense,gallon,gram,rigid,diffusion,vibration,acceleration,resonance,nucleus,radioactive,thrust,scattering,displacement,ounce,impulse,coherent,wavelength,pascal,amplitude,resolving,photon,dispersion,kinetic,calorie,radiant,quark,mole,ohm,quart,polarization,convection,latent,alternating,pint,capacitor,hertz,gravitational,diffraction,magnification,trough,inertia,resultant,isotope,tesla,conduction,luminosity,solenoid,chromatic
3D Graphics:cylinder,texture,cage,ambient,merge,shine,vertex,sphere,pose,render,constraint,cone,bucket,bounce,collision,sketch,simplify,sweep,helper,lattice,skeleton,rotate,rig,prism,simulate,diffuse,polygon,dope,integrator,tangent,attenuation,teapot,animate,skew,spline,intersect,distort,occlusion,torus,shader,specular,ragdoll,voxel,subdivide,deform,keyframe,radiosity,extrude,biped,falloff
House:pillow,refrigerator,dryer,washer,blanket,cement,fireplace,bolt,curtain,closet,couch,stairs,mansion,stove,cushion,hut,porch,attic,chateau,cellar,furnace,loft,shack,condominium,chimney,townhouse,faucet,plaster,bungalow,hinge,dresser,hallway,plywood,bathtub,pantry,staircase,bookcase,cupboard,doorstep,drapes,ashtray,tenement,igloo,playroom,wigwam,brownstone,rafter,yurt,rowhouse,tepee
Music:compressor,chord,hum,modulation,latency,sax,sonata,whistle,harp,viola,tenor,scrub,cello,mute,compose,clarinet,automate,dolce,octave,saxophone,gong,allegro,climax,banjo,largo,forte,fiddle,soprano,glide,resize,tweak,synth,compress,triad,trombone,outboard,tonic,snare,riff,mandolin,accordion,harmonica,cadence,oboe,vibes,equalizer,treble,jog,presto,tuba
Geometry:cylinder,vertex,sphere,altitude,cone,pentagon,oblique,pyramid,apex,symmetry,chord,irregular,locus,diagonal,kite,rectangle,perimeter,prism,manifold,convex,polygon,inversion,fractal,perpendicular,resultant,inscribed,concave,midpoint,concentric,hexagon,octagon,cosine,congruent,coincident,discriminant,centroid,obtuse,equidistant,collinear,equilateral,monoid,rhombus,coplanar,secant,abscissa,tessellation,tetrad,hypotenuse,bisector,involute
Sport:squash,canoe,racer,fencing,gymnastics,referee,kite,archer,karate,kayak,loser,diver,hoops,dart,paddle,hoop,inning,badminton,triathlon,surfer,batter,axel,puck,golfer,jogging,goalie,rink,sled,judo,jog,swimmer,skier,wrestler,umpire,slalom,frisbee,cyclist,cleats,mallet,mitt,javelin,handball,volley,infield,tracksuit,luge,quiver,gymnast,rower,bocce
Character:stern,relaxed,loyal,cruel,eager,humble,rude,ambitious,messy,energetic,grim,vain,humane,vicious,tense,polite,cautious,selfish,daring,witty,cheerful,respectful,graceful,adventurous,brute,trusting,stubborn,inventive,meek,obnoxious,forgiving,timid,devout,ferocious,impulsive,indulgent,heartless,shrewd,merciless,amiable,callous,lenient,odious,amicable,grouchy,urbane,genteel,affable,obliging,courtly
Food:soda,foie gras,cocoa,mushroom,toast,burger,syrup,sweets,cereal,fats,vinegar,pastry,pudding,aroma,peanuts,yogurt,cider,biscuit,stew,batter,noodles,hamburger,glaze,caramel,broth,caviar,noodle,skillet,pancakes,waffle,muffin,seasoning,margarine,mousse,bagel,wok,mayonnaise,ketchup,marinade,entree,filet,crumble,lard,cobbler,tartar,curd,omelette,croissant,raclette,poutine
Algorithms:persistent,relaxed,concurrent,feasible,descent,inverse,bounded,randomized,symmetric,polynomial,shortest,recursive,cyclic,exponential,planar,naive,greedy,sparse,inverted,exhaustive,ascent,quadratic,deterministic,orthogonal,asymptotic,swarm,associative,ragged,concave,amortized,oscillating,unsorted,commutative,isomorphic,intractable,factorial,ternary,augmenting,unary,acyclic,bipartite,tractable,undirected,extremal,decidable,nondeterministic,dyadic,rectilinear,undecidable,unsolvable
Military:shotgun,swell,chow,mortar,helm,recon,bunker,chit,breakout,blower,cadet,trench,quay,overhaul,bunk,gator,skipper,ordnance,revolver,sonar,bandit,tanker,billet,grenade,fluke,cadence,nugget,splice,funnel,melee,galley,keel,winch,azimuth,buoy,ensign,blockade,torpedo,muster,skunk,flank,hoist,sniffer,duffel,ambush,gizmo,brig,reeve,lanyard,echelon
Corporate:paradigm,niche,deploy,metrics,shrink,linkage,runway,upside,empowerment,sidebar,synergy,imperative,onboard,disconnect,scrub,pivot,kudos,kicker,noodle,simmer,whiteboard,deliverable,ballpark,populate,gatekeeper,unpack,silo,hardball,resonate,dovetail,marinate,verbiage,ideation,downsize,potentiality,jawbone,evangelize,skillset,mindshare,sandbag,boondoggle,pushback,backburner,triangulate,flunky,gofer,kowtow,flub,infomediary,insource
Construction:plaster,sleeper,biscuit,piles,tread,rake,pigment,apron,glazing,strata,casing,hearth,airway,sandstone,truss,plywood,jig,tempered,setback,easement,gutter,veneer,taper,plank,thinner,radon,cellulose,valance,condensation,footing,drywall,putty,tint,lacquer,riser,warped,inlay,sash,rubble,taping,sanding,spline,gable,sill,flashed,varnish,flue,damper,edging,centerline
Physics:quark,mole,ohm,quart,polarization,convection,latent,alternating,pint,capacitor,hertz,gravitational,diffraction,magnification,trough,inertia,resultant,isotope,tesla,conduction,luminosity,solenoid,chromatic,volumetric,projectile,quanta,resistivity,positron,refraction,isobaric,coulomb,buoyant,brownian,albedo,adiabatic,cyclotron,advection,radian,ampere,baryon,decibel,joule,isothermal,candela,maser,rectilinear,exothermic,achromatic,farad,endothermic
City Name:versailles,laredo,metz,lille,lausanne,limoges,calais,grenoble,buren,leiden,davos,montpellier,pau,maastricht,eindhoven,delft,nantes,groningen,lucerne,dijon,hialeah,avignon,brest,harlingen,rennes,dordrecht,nijmegen,rouen,caen,biel,cham,angers,tilburg,dunkirk,lugano,arnhem,montreux,reims,montfort,toulon,breda,antibes,wageningen,ede,gouda,haarlem,kessel,zug,poitiers,winterthur
Music:equalizer,treble,jog,presto,tuba,baritone,coda,reverb,bongo,adagio,piccolo,counterpoint,bassoon,normalize,triplet,cymbal,limiter,bugle,metronome,transpose,molto,fader,convolution,legato,truncate,fugue,dissonance,andante,libretto,harmonize,crescendo,stave,clef,tambourine,marimba,sempre,improvise,xylophone,slur,vibrato,strum,timpani,staccato,vivace,trill,orchestrate,flam,moderato,diatonic,formant
Construction:varnish,flue,damper,edging,centerline,fascia,lumen,scaffold,sealer,sump,plumb,mantel,grout,stucco,outrigger,trellis,bevel,preservative,rout,wattage,beveled,shim,miter,eaves,transom,burl,isometric,nailer,gusset,scab,bulldozer,girder,dowel,ampere,pumice,dado,rosin,rafter,dormer,caulk,berm,pergola,cornice,mastic,swale,joist,flagstone,coped,rasp,turpentine
Military:gizmo,brig,reeve,lanyard,echelon,drone,jarhead,fathom,barrage,bastion,helo,grunt,semaphore,bayonet,napalm,rout,cordon,chock,overtake,armament,bulkhead,snipe,swab,bilge,cleat,yaw,landfall,bogey,skirmish,yeoman,phalanx,freighter,belay,shackle,sortie,wingman,highline,frock,kapok,lightship,bulwark,frogman,sheave,lifer,bollard,halbert,barnacles,jettison,jetsam,capstan
Music:cymbal,limiter,bugle,metronome,transpose,molto,fader,convolution,legato,truncate,fugue,dissonance,andante,libretto,harmonize,crescendo,stave,clef,tambourine,marimba,sempre,improvise,xylophone,slur,vibrato,strum,timpani,staccato,vivace,trill,orchestrate,flam,moderato,diatonic,formant,overtone,pizzicato,segno,vocoder,arpeggio,pentatonic,yodel,croon,quantize,tritone,celesta,vocalize,animato,fermata,quaver
Military:bayonet,napalm,rout,cordon,chock,overtake,armament,bulkhead,snipe,swab,bilge,cleat,yaw,landfall,bogey,skirmish,yeoman,phalanx,freighter,belay,shackle,sortie,wingman,highline,frock,kapok,lightship,bulwark,frogman,sheave,lifer,bollard,halbert,barnacles,jettison,jetsam,capstan,bosun,deadhead,fantail,davit,sickbay,gunwale,sitrep,longshoreman,coastie,landlubber,foremast,mainmast,tincan
Construction:miter,eaves,transom,burl,isometric,nailer,gusset,scab,bulldozer,girder,dowel,ampere,pumice,dado,rosin,rafter,dormer,caulk,berm,pergola,cornice,mastic,swale,joist,flagstone,coped,rasp,turpentine,screed,aerator,jamb,louver,balustrade,lath,knurled,inflammable,lintel,nosing,newel,subfloor,mullion,sapwood,chamfer,kerf,chamfered,breezeway,firestop,pilaster,purlin,scarfing
City Name:haarlem,kessel,zug,poitiers,winterthur,fribourg,chur,perpignan,vernier,colmar,enschede,amiens,thun,ajaccio,kampen,tiel,nimes,mellen,mulhouse,locarno,zwolle,hasselt,tuscon,almere,assen,alkmaar,amersfoort,apeldoorn,baar,deventer,hilversum,willemstad,bourges,leeuwarden,roubaix,nanterre,muri,laren,meyrin,heerenveen,onex,middelburg,schaffhausen,argenteuil,edam,beziers,bulle,buchs,heerlen,hoorn
City Name:beziers,bulle,buchs,heerlen,hoorn,solothurn,sneek,hoofddorp,zoetermeer,venlo,roosendaal,nyon,helmond,vevey,montreuil,lelystad,hulst,dieren,amstelveen,aarau,emmen,hengelo,veendam,zutphen,arbon,villeurbanne,uster,oosterhout,schwyz,kriens,sluis,kloten,pully,bellinzona,vlissingen,martigny,kerkrade,sierre,weert,burgdorf,creteil,almelo,veldhoven,heusden,courbevoie,sittard,schlieren,waalwijk,hoogeveen,nieuwegein
City Name:creteil,almelo,veldhoven,heusden,courbevoie,sittard,schlieren,waalwijk,hoogeveen,nieuwegein,morges,olten,schagen,roermond,terneuzen,veenendaal,naarden,purmerend,lancy,horgen,enkhuizen,merignac,deil,reinach,emmeloord,harderwijk,dokkum,rheinfelden,winterswijk,ravenstein,liestal,geleen,wijchen,mendrisio,gorinchem,einsiedeln,carouge,meppel,tourcoing,neuhausen,landgraaf,drachten,medemblik,lyss,velsen,dietikon,frauenfeld,franeker,delfzijl,spiez
